Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,Gender,HourlyRate,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
29,0,Travel_Rarely,1389,Research & Development,21,Life Sciences,Female,51,Manufacturing Director,1,9980,1,No,11,3,80,3,10,8,8
32,0,Travel_Rarely,334,Research & Development,5,Life Sciences,Male,80,Research Scientist,2,3298,0,Yes,12,3,80,2,6,0,5
22,0,Non-Travel,1123,Research & Development,16,Medical,Male,96,Laboratory Technician,4,2935,1,Yes,13,3,80,2,1,0,0
53,0,Travel_Rarely,1219,Sales,2,Life Sciences,Female,78,Manager,4,15427,2,No,16,3,80,3,25,3,7
38,0,Travel_Rarely,371,Research & Development,2,Life Sciences,Male,45,Research Scientist,4,3944,5,Yes,11,3,80,3,3,1,2
24,0,Non-Travel,673,Research & Development,11,Other,Female,96,Manufacturing Director,3,4011,0,No,18,3,80,2,4,1,3
36,1,Travel_Rarely,1218,Sales,9,Life Sciences,Male,82,Sales Representative,1,3407,7,No,23,4,80,3,5,0,3
34,0,Travel_Rarely,419,Research & Development,7,Life Sciences,Female,53,Research Director,2,11994,0,No,11,3,80,3,12,2,11
21,0,Travel_Rarely,391,Research & Development,15,Life Sciences,Male,96,Research Scientist,4,1232,1,No,14,3,80,3,0,0,0
34,1,Travel_Rarely,699,Research & Development,6,Medical,Male,83,Research Scientist,1,2960,2,No,11,3,80,3,4,1,3
53,0,Travel_Rarely,1282,Research & Development,5,Other,Female,58,Manager,3,19094,4,No,11,3,80,2,14,4,8
32,1,Travel_Frequently,1125,Research & Development,16,Life Sciences,Female,72,Research Scientist,1,3919,1,Yes,22,4,80,3,10,6,7
42,0,Travel_Rarely,691,Sales,8,Marketing,Male,48,Sales Executive,2,6825,0,No,11,3,80,3,9,4,2
44,0,Travel_Rarely,477,Research & Development,7,Medical,Female,42,Healthcare Representative,4,10248,3,No,14,3,80,3,22,5,17
46,0,Travel_Rarely,705,Sales,2,Marketing,Female,83,Manager,1,18947,3,No,12,3,80,2,2,2,1
33,0,Travel_Rarely,924,Research & Development,2,Medical,Male,78,Laboratory Technician,4,2496,4,No,11,3,80,3,1,0,0
44,0,Travel_Rarely,1459,Research & Development,10,Other,Male,41,Healthcare Representative,4,6465,2,Yes,13,3,80,4,4,1,3
30,0,Travel_Rarely,125,Research & Development,9,Medical,Male,83,Laboratory Technician,3,2206,1,No,13,3,80,3,10,1,8
39,1,Travel_Rarely,895,Sales,5,Technical Degree,Male,56,Sales Representative,4,2086,3,No,14,3,80,4,1,0,0
24,1,Travel_Rarely,813,Research & Development,1,Medical,Male,61,Research Scientist,4,2293,2,Yes,16,3,80,2,2,2,0
43,0,Travel_Rarely,1273,Research & Development,2,Medical,Female,72,Research Scientist,3,2645,1,No,12,3,80,2,5,1,4
50,1,Travel_Rarely,869,Sales,3,Marketing,Male,86,Sales Representative,3,2683,1,Yes,14,3,80,3,3,0,2
35,0,Travel_Rarely,890,Sales,2,Marketing,Female,97,Sales Representative,4,2014,1,No,13,3,80,3,2,2,2
36,0,Travel_Rarely,852,Research & Development,5,Life Sciences,Female,82,Research Scientist,1,3419,9,Yes,14,3,80,4,1,0,0
33,0,Travel_Frequently,1141,Sales,1,Life Sciences,Female,42,Sales Executive,1,5376,2,No,19,3,80,3,5,1,3
35,0,Travel_Rarely,464,Research & Development,4,Other,Male,75,Laboratory Technician,4,1951,1,No,12,3,80,3,1,0,0
27,0,Travel_Rarely,1240,Research & Development,2,Life Sciences,Female,33,Laboratory Technician,1,2341,1,No,13,3,80,3,1,0,0
26,1,Travel_Rarely,1357,Research & Development,25,Life Sciences,Male,48,Laboratory Technician,3,2293,1,No,12,3,80,2,1,0,1
27,0,Travel_Frequently,994,Sales,8,Life Sciences,Male,37,Sales Executive,3,8726,1,No,15,3,80,3,9,1,7
30,0,Travel_Frequently,721,Research & Development,1,Medical,Female,58,Laboratory Technician,4,4011,1,No,23,4,80,3,12,3,7
41,1,Travel_Rarely,1360,Research & Development,12,Technical Degree,Female,49,Research Director,3,19545,1,No,12,3,80,3,22,15,8
34,0,Non-Travel,1065,Sales,23,Marketing,Male,72,Sales Executive,3,4568,0,No,20,4,80,3,9,8,7
37,0,Travel_Rarely,408,Research & Development,19,Life Sciences,Male,73,Research Scientist,2,3022,4,No,21,4,80,3,1,0,0
46,0,Travel_Frequently,1211,Sales,5,Marketing,Male,98,Sales Executive,4,5772,4,Yes,21,4,80,3,9,0,8
35,0,Travel_Rarely,1229,Research & Development,8,Life Sciences,Male,36,Laboratory Technician,4,2269,1,No,19,3,80,3,1,0,1
48,1,Travel_Rarely,626,Research & Development,1,Life Sciences,Male,98,Laboratory Technician,3,5381,9,Yes,13,3,80,3,1,0,0
28,1,Travel_Rarely,1434,Research & Development,5,Technical Degree,Male,50,Laboratory Technician,3,3441,1,Yes,13,3,80,2,2,2,2
44,0,Travel_Rarely,1488,Sales,1,Marketing,Female,75,Sales Executive,1,5454,5,Yes,21,4,80,2,4,1,3
35,0,Non-Travel,1097,Research & Development,11,Medical,Male,79,Healthcare Representative,1,9884,2,Yes,13,3,80,3,4,2,3
26,0,Travel_Rarely,1443,Sales,23,Marketing,Female,47,Sales Executive,4,4157,7,Yes,19,3,80,2,2,0,0
33,0,Travel_Frequently,515,Research & Development,1,Life Sciences,Female,98,Research Director,4,13458,1,Yes,12,3,80,3,15,8,12
35,0,Travel_Frequently,853,Sales,18,Life Sciences,Male,71,Sales Executive,1,9069,1,No,22,4,80,2,9,1,8
35,0,Travel_Rarely,1142,Research & Development,23,Medical,Female,30,Laboratory Technician,1,4014,3,Yes,15,3,80,3,2,2,2
31,0,Travel_Rarely,655,Research & Development,7,Life Sciences,Male,48,Laboratory Technician,4,5915,3,No,22,4,80,2,7,1,7
37,0,Travel_Rarely,1115,Research & Development,1,Life Sciences,Male,51,Manufacturing Director,3,5993,1,No,18,3,80,4,7,0,7
32,0,Travel_Rarely,427,Research & Development,1,Medical,Male,33,Manufacturing Director,4,6162,1,Yes,22,4,80,3,9,7,8
38,0,Travel_Frequently,653,Research & Development,29,Life Sciences,Female,50,Laboratory Technician,4,2406,1,No,11,3,80,3,10,9,9
50,0,Travel_Rarely,989,Research & Development,7,Medical,Female,43,Research Director,3,18740,5,Yes,12,3,80,2,27,13,8
59,0,Travel_Rarely,1435,Sales,25,Life Sciences,Female,99,Sales Executive,1,7637,7,No,11,3,80,2,21,7,9
36,0,Travel_Rarely,1223,Research & Development,8,Technical Degree,Female,59,Healthcare Representative,3,10096,1,No,13,3,80,3,17,12,8
55,0,Travel_Rarely,836,Research & Development,8,Medical,Female,33,Manager,3,14756,2,Yes,14,3,80,3,5,0,2
36,0,Travel_Frequently,1195,Research & Development,11,Life Sciences,Male,95,Manufacturing Director,2,6499,1,No,13,3,80,3,6,0,3
45,0,Travel_Rarely,1339,Research & Development,7,Life Sciences,Male,59,Research Scientist,1,9724,2,No,17,3,80,3,1,0,0
35,0,Travel_Frequently,664,Research & Development,1,Medical,Male,79,Research Scientist,1,2194,4,No,13,3,80,2,3,1,2
36,1,Travel_Rarely,318,Research & Development,9,Medical,Male,79,Research Scientist,3,3388,0,Yes,17,3,80,2,1,0,0
59,0,Travel_Frequently,1225,Sales,1,Life Sciences,Female,57,Sales Executive,3,5473,7,No,11,3,80,2,4,1,3
29,0,Travel_Rarely,1328,Research & Development,2,Life Sciences,Male,76,Research Scientist,2,2703,0,No,23,4,80,3,5,0,4
31,0,Travel_Rarely,1082,Research & Development,1,Medical,Male,87,Research Scientist,2,2501,1,No,17,3,80,3,1,1,0
32,0,Travel_Rarely,548,Research & Development,1,Life Sciences,Male,66,Research Scientist,2,6220,1,No,17,3,80,3,10,0,9
36,0,Travel_Rarely,132,Research & Development,6,Life Sciences,Female,55,Laboratory Technician,4,3038,3,No,12,3,80,3,1,0,0
31,0,Travel_Rarely,746,Research & Development,8,Life Sciences,Female,61,Manufacturing Director,4,4424,1,No,23,4,80,3,11,1,8
35,0,Travel_Rarely,776,Sales,1,Marketing,Male,32,Sales Executive,1,4312,0,No,14,3,80,3,15,2,8
45,0,Travel_Rarely,193,Research & Development,6,Other,Male,52,Research Director,1,13245,4,Yes,14,3,80,4,0,0,0
37,0,Travel_Rarely,397,Research & Development,7,Medical,Male,30,Research Director,3,13664,4,No,13,3,80,4,5,0,2
46,0,Travel_Rarely,945,Human Resources,5,Medical,Male,80,Human Resources,2,5021,8,Yes,22,4,80,3,4,0,2
30,0,Travel_Rarely,852,Research & Development,1,Life Sciences,Male,55,Laboratory Technician,4,5126,1,Yes,12,3,80,2,10,3,0
35,0,Travel_Rarely,1214,Research & Development,1,Medical,Male,30,Research Scientist,3,2859,1,No,18,3,80,3,6,0,4
55,0,Travel_Rarely,111,Sales,1,Life Sciences,Male,70,Sales Executive,4,10239,3,No,14,3,80,3,1,1,0
38,0,Non-Travel,573,Research & Development,6,Medical,Female,79,Research Scientist,4,5329,7,Yes,12,3,80,3,13,1,9
34,0,Travel_Rarely,1153,Research & Development,1,Medical,Male,94,Manufacturing Director,2,4325,1,No,15,3,80,3,5,1,3
56,0,Travel_Rarely,1400,Research & Development,7,Life Sciences,Male,49,Manufacturing Director,4,7260,4,No,11,3,80,2,6,0,2
23,0,Travel_Rarely,541,Sales,2,Technical Degree,Male,62,Sales Representative,1,2322,3,No,13,3,80,3,0,0,0
51,0,Travel_Rarely,432,Research & Development,9,Life Sciences,Male,96,Laboratory Technician,4,2075,3,No,23,4,80,3,4,0,3
30,0,Travel_Rarely,288,Research & Development,2,Life Sciences,Male,99,Healthcare Representative,4,4152,1,No,19,3,80,3,11,10,8
46,1,Travel_Rarely,669,Sales,9,Medical,Male,64,Sales Executive,4,9619,1,No,16,3,80,3,9,4,7
40,0,Travel_Frequently,530,Research & Development,1,Life Sciences,Male,78,Healthcare Representative,2,13503,1,No,22,4,80,2,22,11,11
51,0,Travel_Rarely,632,Sales,21,Marketing,Male,71,Sales Executive,4,5441,0,Yes,22,4,80,1,10,1,0
30,0,Travel_Rarely,1334,Sales,4,Medical,Female,63,Sales Executive,2,5209,1,Yes,12,3,80,2,11,2,7
46,0,Travel_Frequently,638,Research & Development,1,Medical,Male,40,Healthcare Representative,1,10673,2,Yes,13,3,80,2,10,9,5
32,0,Travel_Rarely,1093,Sales,6,Medical,Male,87,Sales Executive,3,5010,1,No,16,3,80,3,11,5,7
54,0,Travel_Rarely,1217,Research & Development,2,Technical Degree,Female,60,Research Director,3,13549,9,No,12,3,80,1,4,0,3
24,0,Travel_Rarely,1353,Sales,3,Other,Female,33,Sales Executive,3,4999,0,No,21,4,80,2,3,0,2
28,0,Non-Travel,120,Sales,4,Medical,Male,43,Sales Executive,3,4221,1,No,15,3,80,4,5,0,4
58,0,Travel_Rarely,682,Sales,10,Medical,Male,37,Sales Executive,3,13872,0,No,13,3,80,2,37,1,8
44,0,Non-Travel,489,Research & Development,23,Medical,Male,67,Laboratory Technician,2,2042,4,No,12,3,80,4,3,1,2
37,1,Travel_Rarely,807,Human Resources,6,Human Resources,Male,63,Human Resources,1,2073,4,Yes,22,4,80,3,3,0,2
32,0,Travel_Rarely,827,Research & Development,1,Life Sciences,Male,71,Research Scientist,1,2956,1,No,13,3,80,3,1,0,0
20,1,Travel_Frequently,871,Research & Development,6,Life Sciences,Female,66,Laboratory Technician,4,2926,1,Yes,18,3,80,3,1,1,0
34,0,Travel_Rarely,665,Research & Development,6,Other,Female,41,Research Scientist,3,4809,1,No,14,3,80,3,16,2,10
37,0,Non-Travel,1040,Research & Development,2,Life Sciences,Male,100,Healthcare Representative,4,5163,5,No,14,3,80,4,1,0,0
59,0,Non-Travel,1420,Human Resources,2,Human Resources,Female,32,Manager,4,18844,9,No,21,4,80,3,3,2,2
50,0,Travel_Frequently,1115,Research & Development,1,Life Sciences,Female,73,Research Director,2,18172,3,Yes,19,3,80,2,8,0,7
25,1,Travel_Rarely,240,Sales,5,Marketing,Male,46,Sales Executive,3,5744,1,Yes,11,3,80,3,6,0,3
25,0,Travel_Rarely,1280,Research & Development,7,Medical,Male,64,Research Scientist,4,2889,1,No,11,3,80,3,2,2,1
22,0,Travel_Rarely,534,Research & Development,15,Medical,Female,59,Laboratory Technician,4,2871,1,No,15,3,80,3,0,0,0
51,0,Travel_Frequently,1456,Research & Development,1,Medical,Female,30,Healthcare Representative,1,7484,3,No,20,4,80,2,13,12,8
34,1,Travel_Frequently,658,Research & Development,7,Life Sciences,Male,66,Laboratory Technician,3,6074,1,Yes,24,4,80,3,9,0,6
54,0,Non-Travel,142,Human Resources,26,Human Resources,Female,30,Manager,4,17328,2,Yes,12,3,80,3,5,4,4
24,0,Travel_Rarely,1127,Research & Development,18,Life Sciences,Male,52,Laboratory Technician,3,2774,0,No,12,3,80,3,5,1,2
34,0,Travel_Rarely,1031,Research & Development,6,Life Sciences,Female,45,Research Scientist,2,4505,6,No,15,3,80,3,1,0,0
37,0,Travel_Rarely,1189,Sales,3,Life Sciences,Male,87,Sales Executive,4,7428,2,No,12,3,80,3,5,1,3
34,0,Travel_Rarely,1354,Research & Development,5,Medical,Female,45,Manager,1,11631,2,No,12,3,80,3,11,5,8
36,0,Travel_Frequently,1467,Sales,11,Technical Degree,Female,92,Sales Executive,4,9738,0,No,14,3,80,3,9,2,8
36,0,Travel_Rarely,922,Research & Development,3,Life Sciences,Female,39,Laboratory Technician,4,2835,5,No,22,4,80,3,1,0,0
43,0,Travel_Frequently,394,Sales,26,Life Sciences,Male,92,Manager,4,16959,1,Yes,12,3,80,4,25,4,12
30,0,Travel_Frequently,1312,Research & Development,23,Life Sciences,Male,96,Research Scientist,3,2613,1,No,25,4,80,2,10,0,9
33,0,Non-Travel,750,Sales,22,Marketing,Male,95,Sales Executive,2,6146,0,No,13,3,80,4,7,0,7
56,1,Travel_Rarely,441,Research & Development,14,Life Sciences,Female,72,Research Scientist,2,4963,9,Yes,18,3,80,3,5,4,3
51,0,Travel_Rarely,684,Research & Development,6,Life Sciences,Male,51,Research Director,3,19537,7,No,13,3,80,3,20,15,15
31,1,Travel_Rarely,249,Sales,6,Life Sciences,Male,76,Sales Executive,3,6172,4,Yes,18,3,80,2,7,7,7
26,0,Travel_Rarely,841,Research & Development,6,Other,Female,46,Research Scientist,2,2368,1,No,19,3,80,2,5,4,3
58,1,Travel_Rarely,147,Research & Development,23,Medical,Female,94,Healthcare Representative,4,10312,1,No,12,3,80,2,40,15,6
19,1,Travel_Rarely,528,Sales,22,Marketing,Male,50,Sales Representative,3,1675,1,Yes,19,3,80,2,0,0,0
22,0,Travel_Rarely,594,Research & Development,2,Technical Degree,Male,100,Laboratory Technician,4,2523,0,No,14,3,80,3,2,2,1
49,0,Travel_Rarely,470,Research & Development,20,Medical,Female,96,Manufacturing Director,1,6567,1,No,14,3,80,2,15,5,11
43,0,Travel_Frequently,957,Research & Development,28,Medical,Female,72,Research Scientist,3,4739,4,No,12,3,80,3,3,1,2
50,0,Travel_Frequently,809,Sales,12,Marketing,Female,77,Sales Executive,4,9208,4,No,11,3,80,3,2,2,1
31,1,Travel_Rarely,542,Sales,20,Life Sciences,Female,71,Sales Executive,3,4559,3,Yes,11,3,80,3,2,2,2
41,0,Travel_Rarely,802,Sales,9,Life Sciences,Male,96,Sales Executive,3,8189,3,Yes,13,3,80,3,9,0,7
26,0,Travel_Rarely,1355,Human Resources,25,Life Sciences,Female,61,Human Resources,3,2942,1,No,23,4,80,3,8,5,7
36,0,Travel_Rarely,216,Research & Development,6,Medical,Male,84,Manufacturing Director,2,4941,6,No,20,4,80,3,3,0,1
51,1,Travel_Frequently,1150,Research & Development,8,Life Sciences,Male,53,Manufacturing Director,4,10650,2,No,15,3,80,3,4,0,3
39,0,Travel_Rarely,1329,Sales,4,Life Sciences,Female,47,Sales Executive,3,5902,4,No,14,3,80,4,15,5,9
25,0,Travel_Rarely,959,Sales,28,Life Sciences,Male,41,Sales Executive,3,8639,2,No,18,3,80,3,2,2,2
30,0,Travel_Rarely,1240,Human Resources,9,Human Resources,Male,48,Human Resources,4,6347,0,Yes,19,3,80,1,11,4,7
32,1,Travel_Rarely,1033,Research & Development,9,Medical,Female,41,Laboratory Technician,1,4200,7,No,22,4,80,4,5,0,4
45,0,Travel_Rarely,1316,Research & Development,29,Medical,Male,83,Research Scientist,4,3452,5,No,13,3,80,2,6,0,3
38,0,Travel_Rarely,364,Research & Development,3,Technical Degree,Female,32,Research Scientist,3,4317,3,Yes,20,4,80,3,3,2,2
30,0,Travel_Rarely,438,Research & Development,18,Life Sciences,Female,75,Research Scientist,3,2632,1,No,14,3,80,2,5,0,4
32,0,Travel_Frequently,689,Sales,9,Medical,Male,35,Sales Executive,4,4668,0,No,17,3,80,4,8,0,7
30,0,Travel_Rarely,201,Research & Development,5,Technical Degree,Female,84,Research Scientist,1,3204,5,No,14,3,80,3,3,2,2
30,0,Travel_Rarely,1427,Research & Development,2,Medical,Male,35,Laboratory Technician,4,2720,0,No,13,3,80,3,5,1,2
41,0,Travel_Frequently,857,Research & Development,10,Life Sciences,Male,91,Manager,1,17181,4,No,13,3,80,2,7,7,7
41,0,Travel_Rarely,933,Research & Development,9,Life Sciences,Male,94,Laboratory Technician,1,2238,2,No,21,4,80,3,5,1,4
19,0,Travel_Rarely,1181,Research & Development,3,Medical,Female,79,Laboratory Technician,2,1483,1,No,14,3,80,3,1,0,0
40,0,Travel_Frequently,1395,Research & Development,26,Medical,Female,54,Research Scientist,2,5605,1,No,11,3,80,3,20,2,13
35,0,Travel_Rarely,662,Sales,1,Marketing,Male,94,Sales Executive,2,7295,1,No,13,3,80,3,10,0,6
53,0,Travel_Rarely,1436,Sales,6,Marketing,Male,34,Sales Representative,3,2306,2,Yes,20,4,80,1,7,4,5
45,0,Travel_Rarely,194,Research & Development,9,Life Sciences,Male,60,Laboratory Technician,2,2348,8,No,18,3,80,1,17,0,15
32,0,Travel_Frequently,967,Sales,8,Marketing,Female,43,Sales Executive,4,8998,1,No,14,3,80,3,9,3,7
29,0,Non-Travel,1496,Research & Development,1,Technical Degree,Male,41,Manufacturing Director,3,4319,1,No,13,3,80,3,10,0,9
51,0,Travel_Rarely,1169,Research & Development,7,Medical,Male,34,Manufacturing Director,3,6132,2,No,17,3,80,3,1,0,0
58,0,Travel_Rarely,1145,Research & Development,9,Medical,Female,75,Research Scientist,2,3346,4,Yes,20,4,80,2,1,0,0
40,0,Travel_Rarely,630,Sales,4,Marketing,Male,67,Sales Executive,4,10855,7,No,11,3,80,2,12,2,11
34,0,Travel_Frequently,303,Sales,2,Marketing,Female,75,Sales Representative,3,2231,6,No,18,3,80,3,4,1,2
22,0,Travel_Rarely,1256,Research & Development,19,Medical,Male,80,Research Scientist,4,2323,1,No,24,4,80,3,2,2,2
27,0,Non-Travel,691,Research & Development,9,Medical,Male,57,Research Scientist,2,2024,6,No,18,3,80,1,2,2,2
28,0,Travel_Rarely,440,Research & Development,21,Medical,Male,42,Research Scientist,4,2713,1,No,11,3,80,1,5,0,2
57,0,Travel_Rarely,334,Research & Development,24,Life Sciences,Male,83,Healthcare Representative,4,9439,3,Yes,16,3,80,1,5,1,4
27,0,Non-Travel,1450,Research & Development,3,Medical,Male,79,Research Scientist,3,2566,1,Yes,15,3,80,2,1,0,1
50,0,Travel_Rarely,1452,Research & Development,11,Life Sciences,Female,53,Manager,2,19926,3,No,15,3,80,3,5,4,4
41,0,Travel_Rarely,465,Research & Development,14,Life Sciences,Male,56,Research Scientist,3,2451,4,No,12,3,80,3,9,1,8
30,0,Travel_Rarely,1339,Sales,5,Life Sciences,Female,41,Sales Executive,4,9419,2,No,12,3,80,3,10,7,4
38,0,Travel_Rarely,702,Sales,1,Life Sciences,Female,59,Sales Executive,4,8686,4,No,22,4,80,4,8,0,7
32,0,Travel_Rarely,120,Research & Development,6,Life Sciences,Male,43,Research Scientist,3,3038,3,No,20,4,80,3,5,1,4
27,0,Travel_Rarely,1157,Research & Development,17,Technical Degree,Male,51,Research Scientist,2,3058,0,Yes,16,3,80,2,5,1,1
19,1,Travel_Frequently,602,Sales,1,Technical Degree,Female,100,Sales Representative,1,2325,0,No,21,4,80,4,0,0,0
36,0,Travel_Frequently,1480,Research & Development,3,Medical,Male,30,Laboratory Technician,2,2088,4,No,12,3,80,2,8,7,2
30,0,Non-Travel,111,Research & Development,9,Medical,Male,66,Laboratory Technician,1,3072,1,No,11,3,80,3,12,6,10
45,0,Travel_Rarely,1268,Sales,4,Life Sciences,Female,30,Sales Executive,1,5006,4,Yes,11,3,80,4,5,0,3
56,0,Travel_Rarely,713,Research & Development,8,Life Sciences,Female,67,Research Scientist,1,4257,4,Yes,18,3,80,3,2,2,2
33,0,Travel_Rarely,134,Research & Development,2,Life Sciences,Male,90,Research Scientist,4,2500,0,No,14,3,80,4,3,0,2
19,1,Travel_Rarely,303,Research & Development,2,Life Sciences,Male,47,Laboratory Technician,4,1102,1,No,22,4,80,2,1,1,0
46,0,Travel_Rarely,526,Sales,1,Marketing,Female,92,Sales Executive,1,10453,1,No,25,4,80,3,24,15,7
38,0,Travel_Rarely,1380,Research & Development,9,Life Sciences,Female,75,Laboratory Technician,4,2288,1,No,12,3,80,3,2,2,1
31,0,Travel_Rarely,140,Research & Development,12,Medical,Female,95,Research Scientist,4,3929,8,Yes,23,4,80,3,4,0,2
34,0,Travel_Rarely,629,Research & Development,27,Medical,Female,95,Research Scientist,2,2311,2,No,15,3,80,3,3,1,2
41,1,Travel_Rarely,1356,Sales,20,Marketing,Female,70,Sales Representative,2,3140,1,Yes,22,4,80,2,4,0,2
50,0,Travel_Rarely,328,Research & Development,1,Medical,Male,86,Laboratory Technician,3,3690,2,No,15,3,80,2,3,0,2
53,0,Travel_Rarely,1084,Research & Development,13,Medical,Female,57,Manufacturing Director,1,4450,1,No,11,3,80,3,4,1,3
33,0,Travel_Rarely,931,Research & Development,14,Medical,Female,72,Research Scientist,2,2756,1,No,13,3,80,3,8,1,6
40,0,Travel_Rarely,989,Research & Development,4,Medical,Female,46,Manager,3,19033,1,No,14,3,80,3,20,9,9
55,0,Travel_Rarely,692,Research & Development,14,Medical,Male,61,Research Director,2,18722,8,No,11,3,80,3,24,2,15
34,0,Travel_Frequently,1069,Research & Development,2,Life Sciences,Male,45,Manufacturing Director,3,9547,1,No,17,3,80,2,10,1,9
51,0,Travel_Rarely,313,Research & Development,3,Medical,Female,98,Healthcare Representative,2,13734,3,No,18,3,80,3,7,1,0
52,0,Travel_Rarely,699,Research & Development,1,Life Sciences,Male,65,Manager,3,19999,0,No,14,3,80,3,33,11,9
27,0,Travel_Rarely,894,Research & Development,9,Medical,Female,99,Research Scientist,2,2279,1,No,16,3,80,2,7,0,3
35,1,Travel_Rarely,556,Research & Development,23,Life Sciences,Male,50,Manufacturing Director,3,5916,3,Yes,13,3,80,3,1,0,1
43,0,Non-Travel,1344,Research & Development,7,Medical,Male,37,Research Scientist,4,2089,4,No,14,3,80,4,5,2,2
45,0,Non-Travel,1195,Research & Development,2,Medical,Male,65,Manager,4,16792,9,No,23,4,80,3,20,11,8
37,0,Travel_Rarely,290,Research & Development,21,Life Sciences,Male,65,Research Scientist,1,3564,1,Yes,12,3,80,2,8,1,7
35,0,Travel_Frequently,138,Research & Development,2,Medical,Female,37,Laboratory Technician,2,4425,5,No,11,3,80,3,6,1,2
42,0,Non-Travel,926,Research & Development,21,Medical,Female,36,Manufacturing Director,3,5265,2,No,16,3,80,3,5,0,2
38,0,Travel_Rarely,1261,Research & Development,2,Life Sciences,Male,88,Manufacturing Director,3,6553,9,No,14,3,80,3,1,0,0
38,0,Travel_Rarely,1084,Research & Development,29,Technical Degree,Male,54,Manufacturing Director,4,6261,3,No,18,3,80,1,7,1,7
27,0,Travel_Frequently,472,Research & Development,1,Technical Degree,Male,60,Manufacturing Director,1,4298,5,No,19,3,80,3,2,2,0
49,0,Non-Travel,1002,Research & Development,18,Life Sciences,Male,92,Manufacturing Director,4,6804,1,Yes,15,3,80,3,7,1,7
34,0,Travel_Frequently,878,Research & Development,10,Medical,Male,43,Research Scientist,3,3815,1,Yes,17,3,80,4,5,2,0
40,0,Travel_Rarely,905,Research & Development,19,Medical,Male,99,Laboratory Technician,4,2741,8,Yes,15,3,80,4,7,3,7
38,1,Travel_Rarely,1180,Research & Development,29,Medical,Male,70,Healthcare Representative,1,6673,7,Yes,19,3,80,3,1,0,0
29,1,Travel_Rarely,121,Sales,27,Marketing,Female,35,Sales Executive,4,7639,1,No,22,4,80,2,10,1,9
22,0,Travel_Rarely,1136,Research & Development,5,Life Sciences,Male,60,Research Scientist,2,2328,1,Yes,16,3,80,2,4,2,2
36,0,Travel_Frequently,635,Research & Development,18,Medical,Female,73,Laboratory Technician,4,2153,1,No,13,3,80,3,8,1,7
40,0,Non-Travel,1151,Research & Development,9,Life Sciences,Male,63,Healthcare Representative,4,4876,9,No,14,3,80,1,3,0,2
46,0,Travel_Rarely,644,Research & Development,1,Medical,Male,97,Healthcare Representative,1,9396,7,No,16,3,80,3,4,0,3
32,1,Travel_Rarely,1045,Sales,4,Medical,Male,32,Sales Executive,4,10400,1,No,11,3,80,2,14,9,8
30,0,Non-Travel,829,Research & Development,1,Life Sciences,Male,88,Manufacturing Director,3,8474,1,No,22,4,80,3,11,5,8
